kind,w,seed,skill,eps,w2,killed
flow0,0.4,3,1,0.03,0.03210169954074614,0.023999929428100586
flow0,0.4,3,2,0.003,0.04958949030355558,0.10999995470046997
flow0,0.4,3,2,0.01,0.045562863792755266,0.1499999761581421
flow0,0.4,3,2,0.03,0.040277799770801724,0.2359999418258667
flow0,0.4,3,3,0.003,0.048287609506827874,0.0
flow0,0.4,3,3,0.01,0.032173087729380864,0.003999948501586914
flow0,0.4,3,3,0.03,0.03200732115243437,0.031999945640563965
flow0,0.4,4,1,0.003,0.037982377463929316,0.0
flow0,0.4,4,1,0.01,0.033051769858420114,0.001999974250793457
flow0,0.4,4,1,0.03,0.03861498225437395,0.031999945640563965
flow0,0.4,4,2,0.003,0.05635334730104099,0.11199992895126343
flow0,0.4,4,2,0.01,0.03709557238645983,0.16199994087219238
flow0,0.4,4,2,0.03,0.0486934922386507,0.2279999852180481
flow0,0.4,4,3,0.003,0.05981906769967982,0.0
flow0,0.4,4,3,0.01,0.04759043567877045,0.003999948501586914
flow0,0.4,4,3,0.03,0.03227224038351953,0.05199992656707764
