condition,w,sigma_d,seed,handoff,n_reached,w2
A0.01,0.2,0.1,4,2,200,0.029473444427493358
A0.01,0.4,0.0,0,1,200,0.03196564292703819
A0.01,0.4,0.0,0,2,200,0.032095581189622316
A0.01,0.4,0.0,1,1,200,0.027995258254845112
A0.01,0.4,0.0,1,2,200,0.03903852787987911
A0.01,0.4,0.0,2,1,200,0.029398125695583196
A0.01,0.4,0.0,2,2,200,0.03312005764286878
A0.01,0.4,0.0,3,1,200,0.0398766912608087
A0.01,0.4,0.0,3,2,200,0.04956218815881134
A0.01,0.4,0.0,4,1,200,0.02828361874281497
A0.01,0.4,0.0,4,2,200,0.06358719191622497
A0.01,0.4,0.02,0,1,200,0.028433198040192363
A0.01,0.4,0.02,0,2,200,0.024964912522328662
A0.01,0.4,0.02,1,1,200,0.0562598345720706
A0.01,0.4,0.02,1,2,200,0.0380804529091689
A0.01,0.4,0.02,2,1,200,0.025801258685224617
A0.01,0.4,0.02,2,2,200,0.04174788080446446
A0.01,0.4,0.02,3,1,200,0.03523967389088193
A0.01,0.4,0.02,3,2,200,0.044251339414862124
A0.01,0.4,0.02,4,1,200,0.02672394942301095
A0.01,0.4,0.02,4,2,200,0.03506918423947913
A0.01,0.4,0.05,0,1,200,0.046972070581617335
A0.01,0.4,0.05,0,2,200,0.026120722450608792
A0.01,0.4,0.05,1,1,200,0.045987725959708285
A0.01,0.4,0.05,1,2,200,0.0364668868207077
A0.01,0.4,0.05,2,1,200,0.03172397522701942
A0.01,0.4,0.05,2,2,200,0.03837527037327921
A0.01,0.4,0.05,3,1,200,0.042821721108684915
A0.01,0.4,0.05,3,2,200,0.04643822028533996
A0.01,0.4,0.05,4,1,200,0.028602043465225966
A0.01,0.4,0.05,4,2,200,0.035186063243071046
A0.01,0.4,0.1,0,1,200,0.051167793104718216
A0.01,0.4,0.1,0,2,200,0.03648704343531227
A0.01,0.4,0.1,1,1,200,0.04464997401408463
A0.01,0.4,0.1,1,2,200,0.03802182913148593
A0.01,0.4,0.1,2,1,200,0.03012729978569588
A0.01,0.4,0.1,2,2,200,0.05020228801356766
A0.01,0.4,0.1,3,1,200,0.05078207404868449
A0.01,0.4,0.1,3,2,200,0.06276708074462978
A0.01,0.4,0.1,4,1,200,0.04072401744675449
A0.01,0.4,0.1,4,2,200,0.032054135207092126
A0.03,0.1,0.0,0,1,200,0.026896838610719113
A0.03,0.1,0.0,0,2,200,0.040371716349930954
A0.03,0.1,0.0,1,1,200,0.026807137266875624
A0.03,0.1,0.0,1,2,200,0.03230038627424706
A0.03,0.1,0.0,2,1,200,0.03204710271707876
A0.03,0.1,0.0,2,2,200,0.03607946549385612
A0.03,0.1,0.0,3,1,200,0.02815292230896872
A0.03,0.1,0.0,3,2,200,0.028979264765679535
A0.03,0.1,0.0,4,1,200,0.029948770908756472
A0.03,0.1,0.0,4,2,200,0.026088338741965124
A0.03,0.1,0.02,0,1,200,0.026175305529886377
A0.03,0.1,0.02,0,2,200,0.03449129950583869
A0.03,0.1,0.02,1,1,200,0.02830119875611886
A0.03,0.1,0.02,1,2,200,0.031541428824621395
A0.03,0.1,0.02,2,1,200,0.030494186328907855
A0.03,0.1,0.02,2,2,200,0.03684091722608879
A0.03,0.1,0.02,3,1,200,0.028146911338966265
A0.03,0.1,0.02,3,2,200,0.034191188627430494
A0.03,0.1,0.02,4,1,200,0.026685590657197073
A0.03,0.1,0.02,4,2,200,0.026340034300952997
A0.03,0.1,0.05,0,1,200,0.026940714537566784
A0.03,0.1,0.05,0,2,200,0.0360666089436886
A0.03,0.1,0.05,1,1,200,0.029769600210488315
A0.03,0.1,0.05,1,2,200,0.031921939619048226
A0.03,0.1,0.05,2,1,200,0.02947033374157195
A0.03,0.1,0.05,2,2,200,0.03472815111228736
A0.03,0.1,0.05,3,1,200,0.02888831068115566
A0.03,0.1,0.05,3,2,200,0.03194546933293661
A0.03,0.1,0.05,4,1,200,0.025947924155230773
A0.03,0.1,0.05,4,2,200,0.03451891047592723
A0.03,0.1,0.1,0,1,200,0.025983792326820326
A0.03,0.1,0.1,0,2,200,0.037973833821022186
A0.03,0.1,0.1,1,1,200,0.028733630846850024
A0.03,0.1,0.1,1,2,200,0.03317989928818385
A0.03,0.1,0.1,2,1,200,0.028376742171439713
A0.03,0.1,0.1,2,2,200,0.034750562505411656
A0.03,0.1,0.1,3,1,200,0.03044984041319941
A0.03,0.1,0.1,3,2,200,0.03263826465370702
A0.03,0.1,0.1,4,1,200,0.027586081257985506
A0.03,0.1,0.1,4,2,200,0.031954591651540326
A0.03,0.2,0.0,0,1,200,0.031028171714943115
A0.03,0.2,0.0,0,2,200,0.05796356989396216
A0.03,0.2,0.0,1,1,200,0.035967468155096265
A0.03,0.2,0.0,1,2,200,0.04392368420284246
A0.03,0.2,0.0,2,1,200,0.031062599975667803
A0.03,0.2,0.0,2,2,200,0.0336921511506626
A0.03,0.2,0.0,3,1,200,0.025692212062734
A0.03,0.2,0.0,3,2,200,0.02708063128797831
A0.03,0.2,0.0,4,1,200,0.027435687059239506
A0.03,0.2,0.0,4,2,200,0.032268697449589316
A0.03,0.2,0.02,0,1,200,0.033582364531998504
A0.03,0.2,0.02,0,2,200,0.06690709670244999
A0.03,0.2,0.02,1,1,200,0.03980881135176317
A0.03,0.2,0.02,1,2,200,0.040376779518548137
A0.03,0.2,0.02,2,1,200,0.02740303799854829
A0.03,0.2,0.02,2,2,200,0.04336658235340316
A0.03,0.2,0.02,3,1,200,0.027489245538638785
A0.03,0.2,0.02,3,2,200,0.029858102246348203
A0.03,0.2,0.02,4,1,200,0.02766084776884071
A0.03,0.2,0.02,4,2,200,0.03711586159924147
A0.03,0.2,0.05,0,1,200,0.035162784029231876
A0.03,0.2,0.05,0,2,200,0.048515305818562865
A0.03,0.2,0.05,1,1,200,0.028333695631362493
A0.03,0.2,0.05,1,2,200,0.0422598046431519
A0.03,0.2,0.05,2,1,200,0.027056913072235903
A0.03,0.2,0.05,2,2,200,0.038057349417894036
A0.03,0.2,0.05,3,1,200,0.02612984183456634
