kind,w,seed,skill,iter,coupling_cost,sinkhorn,w2,killed
bridge,0.2,1,1,1,0.0872139036655426,0.005826382897794247,0.01997578375836353,0.00999993085861206
bridge,0.2,1,1,2,0.09191232919692993,0.005957087501883507,0.02264026569221783,0.011999964714050293
bridge,0.2,1,1,3,0.08766288310289383,0.005961067974567413,0.019251574531512532,0.011999964714050293
bridge,0.2,1,1,4,0.08945140987634659,0.005683574825525284,0.014749089539583626,0.001999974250793457
bridge,0.2,1,1,5,0.08540983498096466,0.005686731077730656,0.013153319004330576,0.007999956607818604
bridge,0.2,1,2,0,0.04028946906328201,0.006257896777242422,0.03248144806702895,0.2399999499320984
bridge,0.2,1,2,1,0.03427262231707573,0.006625371519476175,0.04054185819723422,0.23799997568130493
bridge,0.2,1,2,2,0.03340737149119377,0.006460025906562805,0.03523729094061294,0.23199999332427979
bridge,0.2,1,2,3,0.03335469961166382,0.006329097785055637,0.03134697317889429,0.31199997663497925
bridge,0.2,1,2,4,0.03299326449632645,0.005828853230923414,0.024957774571890776,0.28599995374679565
bridge,0.2,1,2,5,0.03142883628606796,0.006045621354132891,0.027301892325216476,0.25599998235702515
bridge,0.2,1,3,0,0.10555942356586456,0.008694133721292019,0.030443000927571913,0.0
bridge,0.2,1,3,1,0.08587608486413956,0.008586729876697063,0.027789785536298878,0.003999948501586914
bridge,0.2,1,3,2,0.08759284019470215,0.008775344118475914,0.029319520364084053,0.0059999823570251465
bridge,0.2,1,3,3,0.08604852110147476,0.008601449429988861,0.026786382718296954,0.0059999823570251465
bridge,0.2,1,3,4,0.08734237402677536,0.008223576471209526,0.024843519215025346,0.0059999823570251465
bridge,0.2,1,3,5,0.08659255504608154,0.00816876720637083,0.025330250898546916,0.0059999823570251465
bridge,0.2,2,1,0,0.10503263771533966,0.006455728784203529,0.027765086871904047,0.0
bridge,0.2,2,1,1,0.0870494395494461,0.006029886193573475,0.0225423333190114,0.003999948501586914
bridge,0.2,2,1,2,0.08304719626903534,0.0060181706212460995,0.020990563655680257,0.01399993896484375
bridge,0.2,2,1,3,0.08316240459680557,0.005879305303096771,0.018289665409770194,0.011999964714050293
bridge,0.2,2,1,4,0.084199458360672,0.006191479042172432,0.02645108797538932,0.00999993085861206
bridge,0.2,2,1,5,0.08476260304450989,0.005672154948115349,0.012566523647336932,0.003999948501586914
bridge,0.2,2,2,0,0.040220197290182114,0.005961309652775526,0.021556499022853975,0.2799999713897705
bridge,0.2,2,2,1,0.0332755446434021,0.006081080064177513,0.026499014912273963,0.26999998092651367
bridge,0.2,2,2,2,0.03407388925552368,0.006329220719635487,0.03456838867128487,0.27399998903274536
bridge,0.2,2,2,3,0.03122820146381855,0.0063792383298277855,0.03277721430100806,0.2579999566078186
bridge,0.2,2,2,4,0.03410867974162102,0.006290907971560955,0.028494788605571343,0.3179999589920044
bridge,0.2,2,2,5,0.03423959016799927,0.006263436749577522,0.03166117927413926,0.27199995517730713
bridge,0.2,2,3,0,0.1054123044013977,0.008528975769877434,0.027269075203157297,0.0059999823570251465
